Country;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
Canada;48901.71;49364.36;50193.75;51231.99;51354.11;51692.88;52878.20;53484.24;53825.74;54441.38;55125.54;55806.31;56507.04;57228.51;57971.97;58738.14;59527.02;60338.68;61173.15;62030.98;62914.39
United States;48781.32;49517.57;50075.47;50924.51;52005.17;52525.15;53296.58;54421.19;55380.25;56030.40;56526.02;57087.52;57660.94;58316.23;59056.41;59783.62;60531.23;61298.79;62087.03;62893.91;63722.00
Cuba;5871.10;6049.27;6221.61;6293.79;6587.15;6641.15;6779.36;6873.05;6955.37;7057.31;7174.88;7335.41;7553.82;7834.51;8163.80;8548.34;8995.99;9469.21;9969.34;10497.84;11056.40
Mexico;9477.42;9688.80;9694.45;9844.65;10047.21;10218.34;10309.09;10399.11;10343.58;10397.10;10483.78;10632.39;10784.37;10935.91;11089.86;11246.95;11407.31;11571.02;11738.17;11908.82;12083.04
Antigua and Barbuda;12840.88;13121.84;12942.75;13376.65;13743.39;14334.06;14589.46;15125.05;15534.48;15622.52;15702.05;15784.87;15871.92;15961.52;16051.59;16146.31;16246.28;16352.36;16464.37;16582.45;16707.18
Bahamas;32420.20;33117.54;32687.09;32354.45;32414.26;31601.89;31796.50;32231.22;32661.58;33080.08;33407.50;33723.95;34053.43;34395.66;34752.88;35123.47;35510.25;35912.66;36330.66;36764.93;37214.54
Barbados;15903.72;15891.45;15838.28;15788.92;15881.03;16150.27;16264.84;16139.63;16098.82;16141.64;16268.97;16433.41;16636.09;16844.43;17092.85;17349.57;17650.05;17960.26;18280.35;18610.21;18951.56
Belize;4443.70;4482.07;4431.31;4506.67;4573.77;4463.50;4229.04;4278.83;4295.76;4296.34;4299.75;4305.34;4312.27;4320.52;4334.22;4349.02;4364.80;4381.63;4399.70;4419.02;4439.37
Costa Rica;8494.11;8786.78;8872.12;9069.49;9283.85;9562.05;9760.12;9905.85;10053.24;10189.10;10365.14;10547.98;10737.88;10935.12;11134.58;11341.83;11557.14;11780.67;12012.66;12253.42;12503.28
Dominica;6752.45;6666.62;6611.64;6886.50;6696.45;6851.38;6186.68;6208.72;6742.57;7091.80;7327.35;7541.49;7726.91;7881.55;8003.22;8090.10;8181.24;8277.00;8377.75;8483.55;8594.14
