COUNTRY,Country,EMPSTAT,Employment status,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1733,,
AUS,Australia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1740,,
AUS,Australia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1726,,
AUS,Australia,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1723,,
AUS,Australia,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1712,,
AUT,Austria,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1495,,
AUT,Austria,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1507,,
AUT,Austria,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1498,,
AUT,Austria,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1502,,
AUT,Austria,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1501,,
BEL,Belgium,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1575,,
BEL,Belgium,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1574,,
BEL,Belgium,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1578,,
BEL,Belgium,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1583,,
CAN,Canada,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1712,,
CAN,Canada,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1695,,
CAN,Canada,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1708,,
CAN,Canada,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1670,,
